misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,208,-13.766542,1.4198686242103578,0.07429176643490791,1.0357221722602845
13160,4737960,210,7.5120227,1.2888123035430907,0.009931783378124236,6.606946611404419
40,14760,209,-10.793881108433737,1.4206313967704773,0.06104605589061975,1.3105388820171355
13180,4745160,210,5.262669430000001,1.2883825182914734,0.00890833898447454,1.6914385557174683
60,21960,210,-5.935782759999999,1.4213785529136658,0.07081023082137108,1.1005066692829133
13200,4752360,210,6.007371379999999,1.2882522583007812,0.017193280905485154,8.326430511474609
80,29160,210,-5.28318688,1.4220389604568482,0.05156696904450655,1.4294990658760072
13220,4759560,210,6.6659445900000005,1.2880534529685974,0.0015756323933601379,2.138386106491089
13240,4766760,210,6.550600370000001,1.2877565026283264,0.008577358722686768,3.496358847618103
13260,4773960,210,6.22715861,1.2875512361526489,0.0030719414353370667,7.078981065750122
13280,4781160,210,6.2694094599999985,1.2873481035232544,-0.005506521463394165,5.613380789756775
13300,4788360,210,5.53780278,1.2870447635650635,0.00890304812346585,1.2061372816562652
13320,4795560,210,5.371047229999999,1.2870397090911865,0.011129317618906499,5.231671261787414
13340,4802760,210,5.671246400000001,1.28697772026062,0.007271662540733814,6.502790260314941
13360,4809960,210,6.023500499999999,1.286531114578247,0.0032813163008540867,2.259795045852661
13380,4817160,210,6.256342229999999,1.2863001704216004,0.005954917357303202,3.521032154560089
13400,4824360,210,5.769446000000001,1.2861544609069824,0.011709607392549514,3.9391227841377257
13420,4831560,210,6.467018389999998,1.285737407207489,0.0051198676228523254,5.090191435813904
13440,4838760,210,5.290267760000002,1.2854605436325073,0.0004392355680465698,2.760561466217041
13460,4845960,210,6.038759,1.2855453610420227,0.0024111516773700713,2.8986200213432314
13480,4853160,210,5.848557049999999,1.2855192184448243,0.013256287202239037,4.21755621433258
13500,4860360,210,5.57218029,1.285369622707367,0.014196681673638523,3.1195991158485414
13520,4867560,210,4.6428255,1.2852066040039063,-0.001825873926281929,5.331858706474304
13540,4874760,210,6.6153142,1.2843880772590637,0.010892103984951973,3.7396429657936094
13560,4881960,210,6.76607135,1.2842392802238465,0.00014756694436073302,5.024057984352112
13580,4889160,210,4.68024905,1.2837204575538634,0.010547865927219392,3.4210607528686525
13600,4896360,210,5.96116289,1.2837880373001098,0.01624986743554473,5.1128781080245975
13620,4903560,209,6.33060021,1.283388376235962,-0.01094518364407122,7.570807909965515
13640,4910760,209,7.130333970000001,1.2832607984542848,0.012510012090206146,6.520739412307739
13660,4917960,209,6.10461655,1.283389675617218,0.013218025863170623,4.645107686519623
13680,4925160,209,5.10058209,1.2833707571029662,0.02161179166287184,1.985253357887268
13700,4932360,209,5.298080499999998,1.2831681489944458,0.007311477512121201,8.107043504714966
13720,4939560,209,4.99353634,1.2829792976379395,0.008193009346723557,3.4535353541374207
13740,4946760,209,5.8391682000000005,1.2825732707977295,0.005424216389656067,2.509622669219971
13760,4953960,209,6.06413035,1.2826746940612792,0.012708962336182595,4.034533429145813
13780,4961160,209,6.100246139999999,1.2824626684188842,0.006966286618262529,6.592382907867432
