misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
1100,396360,420,0.8926787799999998,1.4088285207748412,0.007131644338369369,2.137660229206085
1120,403560,420,1.22427254,1.4086634397506714,0.01782319116027793,1.8488486647605895
1140,410760,419,0.86869375,1.4087896704673768,0.02574528455734253,1.3561819791793823
1160,417960,419,0.08864942999999993,1.4084988474845885,0.03188508227467537,2.131097877025604
1180,425160,419,0.09565746000000001,1.4082656741142272,0.015517509356141091,1.703274017572403
1200,432360,419,0.99646662,1.408258080482483,0.029575776308774948,1.1592350363731385
1220,439560,419,1.27346994,1.4081033706665038,0.016572166047990323,2.2193942189216616
1240,446760,418,0.18422222999999996,1.4080276608467102,0.012039904808625579,2.1036412358283996
1260,453960,418,0.17017298999999997,1.407887089252472,0.00594708239659667,1.9019505739212037
1280,461160,418,1.1838422199999998,1.4080047011375427,0.02963301995769143,1.3353419959545136
1300,468360,418,0.8901230899999999,1.407685685157776,0.012142468243837357,1.822559839487076
1320,475560,418,0.63429772,1.4073922395706178,0.023997227661311626,1.7340068578720094
1340,482760,418,0.2254267700000001,1.407283878326416,0.018236951157450675,2.323196750879288
1360,489960,417,0.3838113100000001,1.407246971130371,0.018490156531333922,2.4073790550231933
1380,497160,417,0.9815909900000002,1.4072420954704286,0.029607462882995605,1.3374948382377625
1400,504360,417,1.1379415800000001,1.407304298877716,0.013535239268094301,1.172879546880722
1420,511560,417,0.8076245799999999,1.4071198940277099,0.021543758013285695,1.15257630944252
1440,518760,417,0.4344759699999999,1.4068663239479064,0.02126622051000595,1.6158067226409911
1460,525960,417,0.6197843800000001,1.4065853357315063,0.029955067997798325,2.778116059303284
1480,533160,416,1.6175744799999998,1.4064255475997924,0.009970731660723686,1.6464035630226135
1500,540360,416,1.54737544,1.4061810731887818,0.030056451633572578,1.8336514830589294
1520,547560,416,1.31503213,1.406321406364441,0.027281061559915543,2.3348163962364197
1540,554760,416,0.91165082,1.4061585426330567,0.015616748156026006,1.089248925447464
1560,561960,416,1.3633574900000003,1.4057954668998718,0.015105908922851085,1.4455746173858643
1580,569160,416,0.6309665700000001,1.405514371395111,0.013263557106256485,1.5308024764060975
1600,576360,415,0.9101665299999999,1.4052006244659423,0.03309648707509041,2.401366174221039
1620,583560,415,1.95379903,1.4048980116844176,0.02358838012441993,4.743484091758728
1640,590760,415,1.51174067,1.4044936656951905,0.008286957815289497,1.7048282861709594
