2023-12-04 %M:18, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:18, INFO: Learning rate:0.001000
2023-12-04 %M:21, INFO: (Epoch 54) recon_loss: 40.1914, k_loss: 1645.6006
2023-12-04 %M:30, INFO: (Epoch 55) recon_loss: 39.7541, k_loss: 1653.2360
2023-12-04 %M:40, INFO: (Epoch 56) recon_loss: 39.6066, k_loss: 1673.1557
2023-12-04 %M:49, INFO: (Epoch 57) recon_loss: 39.3797, k_loss: 1676.5296
2023-12-04 %M:59, INFO: (Epoch 58) recon_loss: 39.1139, k_loss: 1678.6962
2023-12-04 %M:09, INFO: (Epoch 59) recon_loss: 38.9394, k_loss: 1683.9915
2023-12-04 %M:10, INFO: (Eval Epoch 60) recon_loss: 59.4126, k_loss: 1700.7454
2023-12-04 %M:52, INFO: (Epoch 60) recon_loss: 38.5713, k_loss: 1701.1187
2023-12-04 %M:01, INFO: (Epoch 61) recon_loss: 38.2106, k_loss: 1698.5048
2023-12-04 %M:11, INFO: (Epoch 62) recon_loss: 37.9481, k_loss: 1705.2472
2023-12-04 %M:21, INFO: (Epoch 63) recon_loss: 37.9556, k_loss: 1704.6919
2023-12-04 %M:30, INFO: (Epoch 64) recon_loss: 37.5117, k_loss: 1702.5198
2023-12-04 %M:40, INFO: (Epoch 65) recon_loss: 37.2984, k_loss: 1711.1387
2023-12-04 %M:49, INFO: (Epoch 66) recon_loss: 37.3052, k_loss: 1705.6400
2023-12-04 %M:58, INFO: (Epoch 67) recon_loss: 37.1756, k_loss: 1714.7654
2023-12-04 %M:08, INFO: (Epoch 68) recon_loss: 37.1900, k_loss: 1735.5350
2023-12-04 %M:18, INFO: (Epoch 69) recon_loss: 36.6246, k_loss: 1735.0928
2023-12-04 %M:28, INFO: (Epoch 70) recon_loss: 36.6952, k_loss: 1742.0653
2023-12-04 %M:38, INFO: (Epoch 71) recon_loss: 36.3868, k_loss: 1743.6124
2023-12-04 %M:47, INFO: (Epoch 72) recon_loss: 36.3416, k_loss: 1750.1290
2023-12-04 %M:57, INFO: (Epoch 73) recon_loss: 35.8704, k_loss: 1751.8935
2023-12-04 %M:06, INFO: (Epoch 74) recon_loss: 35.7584, k_loss: 1751.7611
2023-12-04 %M:16, INFO: (Epoch 75) recon_loss: 35.5015, k_loss: 1750.3903
2023-12-04 %M:26, INFO: (Epoch 76) recon_loss: 35.4438, k_loss: 1760.0510
2023-12-04 %M:36, INFO: (Epoch 77) recon_loss: 35.2496, k_loss: 1766.4717
2023-12-04 %M:45, INFO: (Epoch 78) recon_loss: 35.1386, k_loss: 1762.0345
2023-12-04 %M:55, INFO: (Epoch 79) recon_loss: 34.8586, k_loss: 1763.4330
2023-12-04 %M:56, INFO: (Eval Epoch 80) recon_loss: 59.1396, k_loss: 1721.6366
2023-12-04 %M:38, INFO: (Epoch 80) recon_loss: 34.8384, k_loss: 1758.5908
2023-12-04 %M:48, INFO: (Epoch 81) recon_loss: 34.5694, k_loss: 1757.6458
2023-12-04 %M:57, INFO: (Epoch 82) recon_loss: 34.5633, k_loss: 1755.4928
2023-12-04 %M:07, INFO: (Epoch 83) recon_loss: 34.1660, k_loss: 1757.9860
2023-12-04 %M:16, INFO: (Epoch 84) recon_loss: 34.0504, k_loss: 1752.0697
2023-12-04 %M:26, INFO: (Epoch 85) recon_loss: 34.0590, k_loss: 1754.9204
2023-12-04 %M:35, INFO: (Epoch 86) recon_loss: 33.8286, k_loss: 1755.0399
2023-12-04 %M:45, INFO: (Epoch 87) recon_loss: 33.7093, k_loss: 1753.8667
2023-12-04 %M:55, INFO: (Epoch 88) recon_loss: 33.7115, k_loss: 1747.6692
2023-12-04 %M:05, INFO: (Epoch 89) recon_loss: 33.3505, k_loss: 1747.0980
2023-12-04 %M:14, INFO: (Epoch 90) recon_loss: 33.3032, k_loss: 1747.6232
2023-12-04 %M:24, INFO: (Epoch 91) recon_loss: 33.1547, k_loss: 1748.1958
2023-12-04 %M:34, INFO: (Epoch 92) recon_loss: 33.2981, k_loss: 1748.0144
2023-12-04 %M:43, INFO: (Epoch 93) recon_loss: 33.1721, k_loss: 1741.6397
2023-12-04 %M:53, INFO: (Epoch 94) recon_loss: 32.8680, k_loss: 1737.6806
2023-12-04 %M:03, INFO: (Epoch 95) recon_loss: 32.4883, k_loss: 1736.8199
2023-12-04 %M:12, INFO: (Epoch 96) recon_loss: 32.4319, k_loss: 1734.1485
2023-12-04 %M:22, INFO: (Epoch 97) recon_loss: 32.5772, k_loss: 1735.6075
2023-12-04 %M:32, INFO: (Epoch 98) recon_loss: 32.3889, k_loss: 1734.0766
2023-12-04 %M:41, INFO: (Epoch 99) recon_loss: 32.2815, k_loss: 1733.3063
2023-12-04 %M:43, INFO: (Eval Epoch 100) recon_loss: 58.9492, k_loss: 1705.0500
2023-12-04 %M:25, INFO: (Epoch 100) recon_loss: 32.0206, k_loss: 1731.3868
2023-12-04 %M:26, INFO: (Epoch 101) recon_loss: 31.9616, k_loss: 1726.1576
2023-12-04 %M:23, INFO: (Epoch 102) recon_loss: 31.7675, k_loss: 1720.4987
2023-12-04 %M:26, INFO: (Epoch 103) recon_loss: 31.8916, k_loss: 1720.3141
2023-12-04 %M:22, INFO: (Epoch 104) recon_loss: 31.6819, k_loss: 1721.5167
2023-12-04 %M:25, INFO: (Epoch 105) recon_loss: 31.5634, k_loss: 1717.7042
2023-12-04 %M:22, INFO: (Epoch 106) recon_loss: 31.4658, k_loss: 1713.6468
2023-12-04 %M:25, INFO: (Epoch 107) recon_loss: 31.1230, k_loss: 1710.9238
2023-12-04 %M:22, INFO: (Epoch 108) recon_loss: 31.5584, k_loss: 1708.7620
2023-12-04 %M:24, INFO: (Epoch 109) recon_loss: 30.9848, k_loss: 1708.0343
2023-12-04 %M:27, INFO: (Epoch 110) recon_loss: 31.0130, k_loss: 1704.6687
2023-12-04 %M:24, INFO: (Epoch 111) recon_loss: 31.0829, k_loss: 1702.5929
2023-12-04 %M:27, INFO: (Epoch 112) recon_loss: 31.1421, k_loss: 1703.4070
2023-12-04 %M:15, INFO: (Epoch 113) recon_loss: 30.7638, k_loss: 1694.5175
2023-12-04 %M:25, INFO: (Epoch 114) recon_loss: 30.6832, k_loss: 1693.0621
2023-12-04 %M:35, INFO: (Epoch 115) recon_loss: 30.6605, k_loss: 1695.7469
2023-12-04 %M:45, INFO: (Epoch 116) recon_loss: 30.6870, k_loss: 1691.4146
2023-12-04 %M:54, INFO: (Epoch 117) recon_loss: 30.5559, k_loss: 1689.8876
2023-12-04 %M:04, INFO: (Epoch 118) recon_loss: 30.2557, k_loss: 1686.2318
2023-12-04 %M:13, INFO: (Epoch 119) recon_loss: 30.0673, k_loss: 1681.7948
2023-12-04 %M:14, INFO: (Eval Epoch 120) recon_loss: 59.9480, k_loss: 1659.0429
2023-12-04 %M:56, INFO: (Epoch 120) recon_loss: 30.2654, k_loss: 1678.5864
2023-12-04 %M:06, INFO: (Epoch 121) recon_loss: 29.9465, k_loss: 1682.3461
2023-12-04 %M:15, INFO: (Epoch 122) recon_loss: 29.9135, k_loss: 1673.8732
2023-12-04 %M:25, INFO: (Epoch 123) recon_loss: 29.8344, k_loss: 1673.6763
2023-12-04 %M:34, INFO: (Epoch 124) recon_loss: 29.8183, k_loss: 1664.7392
2023-12-04 %M:44, INFO: (Epoch 125) recon_loss: 29.6954, k_loss: 1664.4895
2023-12-04 %M:54, INFO: (Epoch 126) recon_loss: 29.7469, k_loss: 1660.9625
2023-12-04 %M:03, INFO: (Epoch 127) recon_loss: 29.6600, k_loss: 1661.0076
2023-12-04 %M:13, INFO: (Epoch 128) recon_loss: 29.5544, k_loss: 1660.8729
2023-12-04 %M:23, INFO: (Epoch 129) recon_loss: 29.4519, k_loss: 1654.3233
2023-12-04 %M:33, INFO: (Epoch 130) recon_loss: 29.3292, k_loss: 1653.6359
2023-12-04 %M:42, INFO: (Epoch 131) recon_loss: 29.3032, k_loss: 1647.5478
2023-12-04 %M:52, INFO: (Epoch 132) recon_loss: 29.1443, k_loss: 1643.4820
2023-12-04 %M:02, INFO: (Epoch 133) recon_loss: 29.0572, k_loss: 1637.1771
2023-12-04 %M:12, INFO: (Epoch 134) recon_loss: 29.1264, k_loss: 1630.3836
2023-12-04 %M:22, INFO: (Epoch 135) recon_loss: 28.9895, k_loss: 1629.0574
2023-12-04 %M:31, INFO: (Epoch 136) recon_loss: 28.9081, k_loss: 1626.2403
2023-12-04 %M:41, INFO: (Epoch 137) recon_loss: 28.6843, k_loss: 1621.4819
2023-12-04 %M:51, INFO: (Epoch 138) recon_loss: 28.8513, k_loss: 1621.9202
2023-12-04 %M:01, INFO: (Epoch 139) recon_loss: 28.5846, k_loss: 1620.1076
2023-12-04 %M:02, INFO: (Eval Epoch 140) recon_loss: 59.5648, k_loss: 1603.6560
2023-12-04 %M:23, INFO: (Epoch 140) recon_loss: 28.4707, k_loss: 1619.0368
2023-12-04 %M:26, INFO: (Epoch 141) recon_loss: 28.4812, k_loss: 1615.6670
2023-12-04 %M:22, INFO: (Epoch 142) recon_loss: 28.3048, k_loss: 1609.6717
2023-12-04 %M:25, INFO: (Epoch 143) recon_loss: 28.2610, k_loss: 1607.1608
2023-12-04 %M:22, INFO: (Epoch 144) recon_loss: 28.4119, k_loss: 1597.2742
2023-12-04 %M:25, INFO: (Epoch 145) recon_loss: 28.4304, k_loss: 1595.5562
2023-12-04 %M:47, INFO: (Epoch 146) recon_loss: 27.9367, k_loss: 1592.9579
2023-12-04 %M:57, INFO: (Epoch 147) recon_loss: 28.3003, k_loss: 1591.3940
2023-12-04 %M:07, INFO: (Epoch 148) recon_loss: 27.8875, k_loss: 1590.3019
2023-12-04 %M:17, INFO: (Epoch 149) recon_loss: 28.1751, k_loss: 1586.5133
2023-12-04 %M:27, INFO: (Epoch 150) recon_loss: 27.7488, k_loss: 1582.5464
2023-12-04 %M:36, INFO: (Epoch 151) recon_loss: 27.7480, k_loss: 1579.3858
2023-12-04 %M:46, INFO: (Epoch 152) recon_loss: 27.6178, k_loss: 1571.6858
2023-12-04 %M:56, INFO: (Epoch 153) recon_loss: 27.4458, k_loss: 1566.6166
2023-12-04 %M:05, INFO: (Epoch 154) recon_loss: 27.7083, k_loss: 1566.3069
2023-12-04 %M:15, INFO: (Epoch 155) recon_loss: 27.3484, k_loss: 1556.9689
2023-12-04 %M:25, INFO: (Epoch 156) recon_loss: 27.4480, k_loss: 1553.8693
2023-12-04 %M:35, INFO: (Epoch 157) recon_loss: 27.5267, k_loss: 1551.9997
2023-12-04 %M:45, INFO: (Epoch 158) recon_loss: 27.4515, k_loss: 1548.5725
2023-12-04 %M:55, INFO: (Epoch 159) recon_loss: 27.3132, k_loss: 1548.5878
2023-12-04 %M:56, INFO: (Eval Epoch 160) recon_loss: 59.4911, k_loss: 1522.1683
2023-12-04 %M:38, INFO: (Epoch 160) recon_loss: 27.2885, k_loss: 1546.5568
2023-12-04 %M:47, INFO: (Epoch 161) recon_loss: 27.2193, k_loss: 1542.5317
2023-12-04 %M:57, INFO: (Epoch 162) recon_loss: 27.1636, k_loss: 1538.2869
2023-12-04 %M:07, INFO: (Epoch 163) recon_loss: 27.2414, k_loss: 1529.8595
2023-12-04 %M:16, INFO: (Epoch 164) recon_loss: 26.9849, k_loss: 1531.5358
2023-12-04 %M:26, INFO: (Epoch 165) recon_loss: 27.1054, k_loss: 1529.1702
2023-12-04 %M:36, INFO: (Epoch 166) recon_loss: 26.9271, k_loss: 1522.6993
2023-12-04 %M:46, INFO: (Epoch 167) recon_loss: 26.8605, k_loss: 1520.3659
2023-12-04 %M:55, INFO: (Epoch 168) recon_loss: 26.8914, k_loss: 1514.6608
2023-12-04 %M:05, INFO: (Epoch 169) recon_loss: 26.7010, k_loss: 1511.6571
2023-12-04 %M:14, INFO: (Epoch 170) recon_loss: 26.6779, k_loss: 1507.9150
2023-12-04 %M:24, INFO: (Epoch 171) recon_loss: 26.8581, k_loss: 1503.3314
2023-12-04 %M:34, INFO: (Epoch 172) recon_loss: 26.5845, k_loss: 1502.6893
2023-12-04 %M:44, INFO: (Epoch 173) recon_loss: 26.6484, k_loss: 1499.1963
2023-12-04 %M:54, INFO: (Epoch 174) recon_loss: 26.6149, k_loss: 1497.9306
2023-12-04 %M:03, INFO: (Epoch 175) recon_loss: 26.4668, k_loss: 1494.6890
2023-12-04 %M:13, INFO: (Epoch 176) recon_loss: 26.5478, k_loss: 1495.9380
2023-12-04 %M:22, INFO: (Epoch 177) recon_loss: 26.4537, k_loss: 1492.2052
2023-12-04 %M:24, INFO: (Epoch 178) recon_loss: 26.3693, k_loss: 1488.9414
2023-12-04 %M:27, INFO: (Epoch 179) recon_loss: 26.1147, k_loss: 1482.4756
2023-12-04 %M:28, INFO: (Eval Epoch 180) recon_loss: 60.0245, k_loss: 1465.7239
2023-12-04 %M:23, INFO: (Epoch 180) recon_loss: 26.1068, k_loss: 1477.5474
2023-12-04 %M:26, INFO: (Epoch 181) recon_loss: 26.2515, k_loss: 1472.6922
